Iteration,Local Optima ,Best Value
1,276370,276339
2,276339,276339
3,276339,276339
4,276551,276339
5,276853,276339
6,276370,276339
7,276728,276339
8,276401,276339
9,276756,276339
10,276523,276339
11,276360,276339
12,276742,276339
13,276339,276339
14,276453,276339
15,276668,276339
16,276407,276339
17,276862,276339
18,276527,276339
19,275292,275393
20,275150,275292
21,275268,275150
22,275488,275150
23,275446,275150
24,275216,275150
25,275150,275150
26,275430,275150
27,275526,275150
28,275477,275150
29,275763,275150
30,275216,275150
31,275437,275150
32,275141,275150
33,275141,275141
34,275590,275141
35,275526,275141
36,275216,275141
37,275141,275141
38,276375,275141
39,275590,275141
40,275216,275141
41,275141,275141
42,275216,275141
43,275477,275141
44,275178,275141
45,275178,275141
46,275141,275141
47,275150,275141
48,275216,275141
49,275477,275141
50,275141,275141
51,275216,275141
52,275477,275141
53,275281,275141
54,275178,275141
55,275866,275141
56,275814,275141
57,276451,275141
58,275216,275141
59,275150,275141
60,275281,275141
61,275813,275141
62,275216,275141
63,275357,275141
64,275150,275141
65,275446,275141
66,275281,275141
67,275403,275141
68,275178,275141
69,275823,275141
70,275281,275141
71,275281,275141
72,275488,275141
73,275216,275141
74,275216,275141
75,275141,275141
76,275141,275141
77,276420,275141
78,275281,275141
79,275216,275141
80,275698,275141
81,275446,275141
82,275216,275141
83,275216,275141
84,275141,275141
85,275150,275141
86,275793,275141
87,275178,275141
88,275371,275141
89,275281,275141
90,275150,275141
91,275380,275141
92,275281,275141
93,275282,275141
94,275477,275141
95,275726,275141
96,275616,275141
97,275141,275141
98,275896,275141
99,275150,275141
100,275281,275141
101,275281,275141
102,275141,275141
103,275800,275141
104,275141,275141
105,275216,275141
106,275526,275141
107,275216,275141
108,275488,275141
109,275150,275141
110,275141,275141
111,275150,275141
112,275754,275141
113,275141,275141
114,275150,275141
115,275141,275141
116,275216,275141
117,275141,275141
118,275282,275141
119,275216,275141
120,275268,275141
121,276353,275141
122,275268,275141
123,275178,275141
124,275141,275141
125,275216,275141
126,275150,275141