Iteration,Local Optima,Best Value
1,330728,333505
2,331701,330728
3,330980,330728
4,330728,330728
5,330728,330728
6,330728,330728
7,330728,330728
8,330728,330728
9,330980,330728
10,330728,330728
11,330728,330728
12,330728,330728
13,330728,330728
14,330980,330728
15,330728,330728
16,330980,330728
17,330980,330728
18,330980,330728
19,330728,330728
20,330980,330728
21,333505,330728
22,333505,330728
23,330980,330728
24,330980,330728
25,330980,330728
26,330980,330728
27,330728,330728
28,330728,330728
29,330728,330728
30,331637,330728
31,330980,330728
32,330728,330728
33,330980,330728
34,330980,330728
35,330728,330728
36,331637,330728
37,330980,330728
38,331637,330728
39,330980,330728
40,330980,330728
41,330980,330728
42,330728,330728
43,330728,330728
44,330980,330728
45,330980,330728
46,330980,330728
47,330728,330728
48,330728,330728
49,330728,330728
50,330980,330728
51,330728,330728
52,330728,330728
53,330728,330728
54,330728,330728
55,330728,330728
56,330980,330728
57,330980,330728
58,330980,330728
59,330728,330728
60,330980,330728
61,330980,330728
62,330728,330728
63,330980,330728
64,330980,330728
65,330980,330728
66,330980,330728
67,330728,330728
68,330728,330728
69,330980,330728
70,330980,330728
71,330980,330728
72,330980,330728
73,331637,330728
74,330728,330728
75,330980,330728
76,330728,330728
77,330980,330728
78,330980,330728
79,330980,330728
80,330980,330728
81,330728,330728
82,330980,330728
83,330728,330728
84,330728,330728
85,330980,330728
86,330728,330728
87,331701,330728
88,330980,330728
89,330728,330728
90,330728,330728
91,331637,330728
92,330980,330728
93,330980,330728
94,330728,330728
95,330980,330728
96,330980,330728
97,330728,330728
98,330728,330728
99,330980,330728
100,330980,330728
101,330980,330728
102,331637,330728
103,330728,330728
104,330980,330728
105,330980,330728
106,330980,330728
107,330980,330728
108,330980,330728
109,330980,330728
110,330980,330728
111,330728,330728
112,330980,330728
113,330728,330728
114,330980,330728
115,330728,330728
116,330728,330728
117,331637,330728
118,330980,330728
119,330980,330728
120,333505,330728
121,330728,330728
122,330728,330728
123,330728,330728
124,330728,330728
125,330728,330728
126,330728,330728
127,330728,330728
128,330980,330728
129,330980,330728
130,330980,330728
131,330728,330728
132,330728,330728