 126.09375,274186
 126.15625,273993
 126.203125,273801
 126.25,273617
 126.3125,273433
 126.359375,273251
 126.421875,273069
 126.484375,272887
 126.5625,272707
 126.625,272527
 126.671875,272347
 126.71875,272169
 126.78125,271991
 126.828125,271813
 126.875,271636
 126.9375,271459
 126.96875,271283
 127.03125,271109
 127.078125,270936
 127.140625,270764
 127.1875,270592
 127.25,270421
 127.296875,270250
 127.359375,270079
 127.40625,269908
 127.46875,269739
 127.53125,269571
 127.578125,269404
 127.640625,269237
 127.6875,269072
 127.75,268909
 127.796875,268747
 127.859375,268585
 127.921875,268424
 127.96875,268263
 128.015625,268103
 128.078125,267944
 128.140625,267785
 128.1875,267626
 128.25,267468
 128.3125,267311
 128.359375,267154
 128.421875,266997
 128.5,266841
 128.546875,266685
 128.609375,266530
 128.671875,266378
 128.734375,266227
 128.796875,266076
 128.859375,265926
 128.921875,265776
 128.96875,265628
 129.03125,265485
 129.09375,265344
 129.15625,265203
 129.21875,265064
 129.28125,264925
 129.34375,264787
 129.40625,264651
 129.46875,264515
 129.53125,264380
 129.59375,264245
 129.65625,264111
 129.71875,263977
 129.796875,263844
 129.859375,263712
 129.921875,263581
 129.984375,263450
 130.046875,263319
 130.109375,263189
 130.171875,263060
 130.25,262932
 130.3125,262809
 130.375,262686
 130.4375,262565
 130.5,262445
 130.578125,262326
 130.640625,262208
 130.703125,262091
 130.765625,261974
 130.84375,261860
 130.90625,261749
 130.96875,261639
 131.046875,261532
 131.109375,261426
 131.171875,261320
 131.25,261214
 131.3125,261109
 131.390625,261004
 131.484375,260900
 131.5625,260798
 131.640625,260696
 131.71875,260594
 131.796875,260494
 131.875,260395
 131.9375,260297
 132.015625,260204
 132.078125,260112
 132.15625,260020
 132.21875,259929
 132.296875,259839
 132.359375,259751
 132.4375,259664
 132.515625,259577
 132.578125,259495
 132.703125,259414
 132.78125,259334
 132.859375,259256
 132.9375,259172
 133.0,259097
 133.078125,259027
 133.140625,258956
 133.21875,258887
 133.296875,258820
 133.375,258754
 133.453125,258693
 133.515625,258633
 133.59375,258578
 133.671875,258524
 133.734375,258473
 133.8125,258427
 133.890625,258381
 133.953125,258334
 134.03125,258289
 134.109375,258252
 134.1875,258224
 134.265625,258201
 134.328125,258181
 134.40625,258157
 134.484375,258138
 134.5625,258120
 134.625,258084
 134.703125,258081
 