85.25,270068
 85.3125,269912
 85.375,269798
 85.4375,269693
 85.5,269532
 85.5625,269373
 85.640625,269231
 85.703125,269123
 85.75,269018
 85.8125,268866
 85.875,268719
 85.9375,268570
 86.015625,268440
 86.0625,268325
 86.125,268210
 86.1875,268103
 86.25,267952
 86.296875,267819
 86.375,267642
 86.4375,267562
 86.5,267493
 86.5625,267385
 86.625,267245
 86.6875,267185
 86.75,267079
 86.8125,266981
 86.875,266930
 86.953125,266886
 87.0,266848
 87.078125,266806
 87.140625,266777
 87.203125,266695
 87.265625,266650
 87.328125,266542
 87.375,266517
 87.4375,266432
 87.5,266406
 87.546875,266369
 87.609375,266264
 87.671875,266229
 87.734375,266204
 87.796875,266174
 87.84375,266114
 87.90625,266085
 87.96875,265997
 88.03125,265977
 88.09375,265960
 88.15625,265943
 88.203125,265885
 88.265625,265713
 88.328125,265632
 88.390625,265575
 88.453125,265524
 88.5,265469
 88.5625,265449
 88.625,265417
 88.6875,265393
 88.75,265293
 88.796875,265204
 88.859375,265129
 88.921875,265001
 88.984375,264950
 89.046875,264899
 89.109375,264832
 89.171875,264772
 89.234375,264672
 89.296875,264616
 89.359375,264583
 89.40625,264554
 89.453125,264545
 89.515625,264525
 54.71875,265750
 54.796875,265486
 54.859375,265341
 54.921875,265220
 54.984375,265105
 55.046875,264826
 55.109375,264739
 55.171875,264661
 55.234375,264591
 55.296875,264421
 55.375,264361
 55.421875,264276
 55.484375,264184
 55.546875,264126
 55.609375,264069
 55.6875,264017
 55.75,263971
 55.8125,263866
 55.890625,263764
 55.96875,263678
 56.046875,263611
 56.125,263445
 56.21875,263390
 56.296875,263311
 56.375,263243
 56.4375,263193
 56.5,263151
 56.5625,263125
 56.640625,263099
 56.703125,263078
 56.78125,263062
 56.84375,263046
 56.90625,263019
 56.96875,262976
 57.046875,262923
 57.109375,262896
 57.171875,262872
 57.234375,262852
 57.296875,262799
 57.375,262765
 57.4375,262736
 57.515625,262665
 57.578125,262648
 57.65625,262594
 57.734375,262582
 57.796875,262581
 57.859375,262505
 57.921875,262500
 57.984375,262462
 58.046875,262392
 58.109375,262391
 